h3_10,msisdn_encrypted,operator,country,service,datetime,longitude,latitude,idkab,nmkab,event_year,event_month,month,idprov
8a8c1078e05ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 00:00:03,106.826,-6.22397,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 00:00:31,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 00:00:42,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1068e567fff,365efcde23566c0d630cfaa1fe8a9458b1b3b57f0c3dadac2eed3e03a3b2b387,China Mobile,China,DATA,2021-09-01 00:02:22,106.726804,-6.11429,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 00:03:50,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 00:03:50,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10683037fff,365efcde23566c0d630cfaa1fe8a9458b1b3b57f0c3dadac2eed3e03a3b2b387,China Mobile,China,OUTGOING SMS,2021-09-01 00:05:41,106.7455,-6.1112,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 00:07:08,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 00:07:08,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 00:09:51,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 00:09:51,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 00:10:55,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 00:10:55,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10683037fff,365efcde23566c0d630cfaa1fe8a9458b1b3b57f0c3dadac2eed3e03a3b2b387,China Mobile,China,DATA,2021-09-01 00:14:27,106.7455,-6.1112,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1068396ffff,365efcde23566c0d630cfaa1fe8a9458b1b3b57f0c3dadac2eed3e03a3b2b387,China Mobile,China,DATA,2021-09-01 00:24:52,106.74594,-6.122528,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c106810dffff,365efcde23566c0d630cfaa1fe8a9458b1b3b57f0c3dadac2eed3e03a3b2b387,China Mobile,China,DATA,2021-09-01 00:31:00,106.73545,-6.12952,3174,JAKARTA BARAT,2021,9,2021-09-01,31
8a8c1078c097fff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 00:51:59,106.825533,-6.241629,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 00:56:39,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 01:03:54,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 01:03:54,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c1078e05ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 01:04:15,106.82648,-6.22384,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
