id,poi,category,nmprov,kdprov,nmkab,kdkab,h3_10
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d7b7fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d617fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d717fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d44ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d45ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d71ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d7affff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d637fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d627fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d7a7fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d607fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d78ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d707fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d46ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d70ffff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d737fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d787fff
p001,Kawasan Blok M,tourist attraction,DKI JAKARTA,31,JAKARTA SELATAN,71,8a8c1078d757fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc1ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078ab5ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd37fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd67fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aacffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788637fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa57fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd97fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd07fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa77fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886f7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc77fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc27fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd8ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa4ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc0ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078ab6ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788787fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886b7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078861ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078860ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bdaffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa6ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc57fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107887b7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd9ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd1ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc47fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886e7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bda7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bdb7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078879ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788797fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078871ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa5ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886dffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078878ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078869ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa0ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078b997fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd87fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd0ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788627fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788617fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa47fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078ab4ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bc2ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886cffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078a367fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886a7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aadffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078b8b7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd6ffff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd27fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c10788607fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078bd77fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aae7fff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c107886affff
p002,Kawasan Gelora Bung Karno,park,DKI JAKARTA,31,JAKARTA PUSAT,73,8a8c1078aa67fff
