,h3_8,h3_9,zone_id,zone_code,zone_category,h3_population_constrained,n_accomadation,unique_accomadation_category
0,888c13c351fffff,898c13c3507ffff,3101010#898c13c3507ffff#z0,z0,others,0,0,0
1,888c13c161fffff,898c13c1603ffff,3101010#898c13c1603ffff#z0,z0,others,0,0,0
2,888c13cf05fffff,898c13cf04fffff,3101010#898c13cf04fffff#z1,z1,housing_area,86,0,0
3,888c13d8b1fffff,898c13d8b17ffff,3101010#898c13d8b17ffff#z1,z1,housing_area,346,0,0
4,888c13ca8bfffff,898c13ca8b3ffff,3101010#898c13ca8b3ffff#z1,z1,housing_area,72,0,0
5,888c13c353fffff,898c13c3533ffff,3101010#898c13c3533ffff#z0,z0,others,0,0,0
6,888c13d10dfffff,898c13d10d7ffff,3101010#898c13d10d7ffff#z1,z1,housing_area,141,0,0
7,888c13c319fffff,898c13c318fffff,3101010#898c13c318fffff#z1,z1,housing_area,75,0,0
8,888c13cf63fffff,898c13cf623ffff,3101010#898c13cf623ffff#z1,z1,housing_area,183,0,0
9,888c13c319fffff,898c13c3193ffff,3101010#898c13c3193ffff#z1,z1,housing_area,237,0,0
10,888c13c353fffff,898c13c353bffff,3101010#898c13c353bffff#z1,z1,housing_area,71,0,0
11,888c13c16dfffff,898c13c16d3ffff,3101010#898c13c16d3ffff#z0,z0,others,0,0,0
12,888c13d10dfffff,898c13d10c7ffff,3101010#898c13d10c7ffff#z1,z1,housing_area,210,0,0
13,888c13cf2bfffff,898c13cf2b3ffff,3101010#898c13cf2b3ffff#z1,z1,housing_area,166,0,0
14,888c13cf3dfffff,898c13cf3d3ffff,3101010#898c13cf3d3ffff#z1,z1,housing_area,385,0,0
15,888c13c319fffff,898c13c319bffff,3101010#898c13c319bffff#z0,z0,others,0,0,0
16,888c13d145fffff,898c13d144fffff,3101010#898c13d144fffff#z1,z1,housing_area,290,0,0
17,888c13cf05fffff,898c13cf04bffff,3101010#898c13cf04bffff#z1,z1,housing_area,81,0,0
18,888c13c311fffff,898c13c3113ffff,3101010#898c13c3113ffff#z0,z0,others,0,0,0
19,888c12a737fffff,898c12a7367ffff,3101010#898c12a7367ffff#z0,z0,others,0,0,0
20,888c13d8bbfffff,898c13d8babffff,3101010#898c13d8babffff#z1,z1,housing_area,679,0,0
21,888c13c357fffff,898c13c3577ffff,3101010#898c13c3577ffff#z0,z0,others,0,0,0
22,888c13c2e3fffff,898c13c2e27ffff,3101010#898c13c2e27ffff#z0,z0,others,0,0,0
23,888c13c351fffff,898c13c350fffff,3101010#898c13c350fffff#z0,z0,others,0,0,0
24,888c12a737fffff,898c12a7363ffff,3101010#898c12a7363ffff#z0,z0,others,0,0,0
25,888c13cf6dfffff,898c13cf6cfffff,3101010#898c13cf6cfffff#z0,z0,others,0,0,0
26,888c13cf61fffff,898c13cf607ffff,3101010#898c13cf607ffff#z0,z0,others,0,0,0
27,888c13cf31fffff,898c13cf313ffff,3101010#898c13cf313ffff#z0,z0,others,0,0,0
28,888c13ca8bfffff,898c13ca8bbffff,3101010#898c13ca8bbffff#z0,z0,others,0,0,0
29,888c13d145fffff,898c13d145bffff,3101010#898c13d145bffff#z0,z0,others,0,0,0
30,888c13ca89fffff,898c13ca883ffff,3101010#898c13ca883ffff#z0,z0,others,0,0,0
31,888c13cf2bfffff,898c13cf2b7ffff,3101010#898c13cf2b7ffff#z2,z2,hotel_area,333,1,1
32,888c13c2e3fffff,898c13c2e23ffff,3101010#898c13c2e23ffff#z0,z0,others,0,0,0
33,888c13cf31fffff,898c13cf303ffff,3101010#898c13cf303ffff#z0,z0,others,0,0,0
34,888c13d101fffff,898c13d1013ffff,3101010#898c13d1013ffff#z1,z1,housing_area,217,0,0
35,888c13cf61fffff,898c13cf60fffff,3101010#898c13cf60fffff#z0,z0,others,0,0,0
36,888c13cf6dfffff,898c13cf6c3ffff,3101010#898c13cf6c3ffff#z0,z0,others,0,0,0
37,888c13d147fffff,898c13d147bffff,3101010#898c13d147bffff#z1,z1,housing_area,76,0,0
38,888c13ca89fffff,898c13ca887ffff,3101010#898c13ca887ffff#z0,z0,others,0,0,0
39,888c13d10dfffff,898c13d10cfffff,3101010#898c13d10cfffff#z0,z0,others,0,0,0
40,888c13cf3dfffff,898c13cf3c7ffff,3101010#898c13cf3c7ffff#z0,z0,others,0,0,0
41,888c13d145fffff,898c13d144bffff,3101010#898c13d144bffff#z1,z1,housing_area,417,0,0
42,888c13cf31fffff,898c13cf31bffff,3101010#898c13cf31bffff#z1,z1,housing_area,167,0,0
43,888c13c161fffff,898c13c1613ffff,3101010#898c13c1613ffff#z0,z0,others,0,0,0
44,888c13c161fffff,898c13c1617ffff,3101010#898c13c1617ffff#z0,z0,others,0,0,0
45,888c13d109fffff,898c13d109bffff,3101010#898c13d109bffff#z1,z1,housing_area,214,0,0
46,888c13cf61fffff,898c13cf613ffff,3101010#898c13cf613ffff#z0,z0,others,0,0,0
47,888c13cf2bfffff,898c13cf2a3ffff,3101010#898c13cf2a3ffff#z1,z1,housing_area,346,0,0
48,888c13cf61fffff,898c13cf61bffff,3101010#898c13cf61bffff#z0,z0,others,0,0,0
49,888c13d145fffff,898c13d1443ffff,3101010#898c13d1443ffff#z1,z1,housing_area,153,0,0
50,888c13c311fffff,898c13c3117ffff,3101010#898c13c3117ffff#z0,z0,others,0,0,0
51,888c13c16dfffff,898c13c16cfffff,3101010#898c13c16cfffff#z0,z0,others,0,0,0
52,888c13c319fffff,898c13c318bffff,3101010#898c13c318bffff#z0,z0,others,0,0,0
53,888c13ca89fffff,898c13ca897ffff,3101010#898c13ca897ffff#z0,z0,others,0,0,0
54,888c13d8bbfffff,898c13d8ba7ffff,3101010#898c13d8ba7ffff#z1,z1,housing_area,164,0,0
