nmprov,nmkab,nmkec,kdprov,kdkab,kdkec
PAPUA,PEGUNUNGAN BINTANG,OKBI,94,17,040
PAPUA,ASMAT,UNIR SIRAU,94,15,072
PAPUA,SARMI,SUNGAI BIRI,94,19,024
PAPUA,JAYAWIJAYA,ASOLOGAIMA,94,02,180
PAPUA,YAHUKIMO,SERADALA,94,16,053
PAPUA,SARMI,BONGGO BARAT,94,19,033
PAPUA,BIAK NUMFOR,YAWOSI,94,09,091
PAPUA,PUNCAK,DOUVO,94,33,080
PAPUA,BOVEN DIGOEL,KOUH,94,13,040
PAPUA,TOLIKARA,TIMORI,94,18,110
PAPUA,JAYAWIJAYA,KURULU,94,02,190
PAPUA,JAYAWIJAYA,WADANGKU,94,02,194
PAPUA,TOLIKARA,WUGI,94,18,062
PAPUA,JAYAWIJAYA,WALELAGAMA,94,02,112
PAPUA,MAMBERAMO RAYA,WAROPEN ATAS,94,28,030
PAPUA,JAYAPURA,YOKARI,94,03,201
PAPUA,KEEROM,WARIS,94,20,030
PAPUA,JAYAWIJAYA,TAGINERI,94,02,225
PAPUA,MERAUKE,ELIGOBEL,94,01,051
PAPUA,NABIRE,NABIRE BARAT,94,04,071
PAPUA,JAYAWIJAYA,WAMENA,94,02,110
PAPUA,MERAUKE,MALIND,94,01,031
PAPUA,NABIRE,DIPA,94,04,052
PAPUA,PUNCAK,ERELMAKAWIA,94,33,023
PAPUA,LANNY JAYA,YILUK,94,30,092
PAPUA,PANIAI,YAGAI,94,10,036
PAPUA,PUNCAK,GOME,94,33,020
PAPUA,TOLIKARA,KUARI,94,18,025
PAPUA,PUNCAK JAYA,FAWI,94,11,040
PAPUA,LANNY JAYA,NOGI,94,30,031
PAPUA,SUPIORI,SUPIORI UTARA,94,27,020
PAPUA,SARMI,SARMI,94,19,050
PAPUA,DOGIYAI,KAMU,94,34,080
PAPUA,YAHUKIMO,SUMO,94,16,047
PAPUA,JAYAWIJAYA,PELEBAGA,94,02,121
PAPUA,PANIAI,WEGE MUKA,94,10,034
PAPUA,LANNY JAYA,GOLLO,94,30,023
PAPUA,YAHUKIMO,HEREAPINI,94,16,058
PAPUA,PUNCAK,GOME UTARA,94,33,022
PAPUA,PEGUNUNGAN BINTANG,OKHIKA,94,17,053
PAPUA,LANNY JAYA,WANO BARAT,94,30,051
PAPUA,MERAUKE,KAPTEL,94,01,023
PAPUA,YAHUKIMO,OBIO,94,16,014
PAPUA,YAHUKIMO,UKHA,94,16,049
PAPUA,LANNY JAYA,PIRIME,94,30,020
PAPUA,SARMI,APAWER HILIR,94,19,062
PAPUA,PEGUNUNGAN BINTANG,EPUMEK,94,17,032
PAPUA,JAYAPURA,KEMTUK,94,03,140
PAPUA,PEGUNUNGAN BINTANG,BATOM,94,17,060
PAPUA,NDUGA,MBUWA,94,29,070
PAPUA,PUNCAK JAYA,TINGGINAMBUT,94,11,070
PAPUA,INTAN JAYA,HOMEYO,94,35,010
PAPUA,MAMBERAMO RAYA,BENUKI,94,28,031
PAPUA,YAHUKIMO,SELA,94,16,028
PAPUA,BOVEN DIGOEL,KAWAGIT,94,13,045
PAPUA,YAHUKIMO,SAMENAGE,94,16,041
PAPUA,MERAUKE,MERAUKE,94,01,040
PAPUA,YAHUKIMO,NINIA,94,16,020
PAPUA,TOLIKARA,TELENGGEME,94,18,541
PAPUA,PANIAI,EKADIDE,94,10,071
PAPUA,BOVEN DIGOEL,FIRIWAGE,94,13,042
PAPUA,MIMIKA,WANIA,94,12,033
PAPUA,LANNY JAYA,KULLY LANNY,94,30,015
PAPUA,BOVEN DIGOEL,SUBUR,94,13,011
PAPUA,YALIMO,WELAREK,94,32,010
PAPUA,PUNCAK,OMUKIA,94,33,033
PAPUA,YAHUKIMO,PASEMA,94,16,015
PAPUA,MAMBERAMO RAYA,MAMBERAMO TENGAH,94,28,050
PAPUA,PANIAI,DEIYAI MIYO,94,10,037
PAPUA,MAPPI,VENAHA,94,14,021
PAPUA,SARMI,SARMI TIMUR,94,19,051
PAPUA,NABIRE,NABIRE,94,04,080
PAPUA,SARMI,PANTAI BARAT,94,19,060
PAPUA,PUNCAK JAYA,LUMO,94,11,081
PAPUA,LANNY JAYA,NIKOGWE,94,30,082
PAPUA,LANNY JAYA,TIOMNERI,94,30,070
PAPUA,JAYAWIJAYA,HUBIKIAK,94,02,124
PAPUA,BOVEN DIGOEL,FOFI,94,13,031
PAPUA,LANNY JAYA,AYUMNATI,94,30,043
PAPUA,BIAK NUMFOR,SWANDIWE,94,09,101
PAPUA,BOVEN DIGOEL,YANIRUMA,94,13,044
PAPUA,JAYAPURA,KEMTUK GRESI,94,03,150
PAPUA,PUNCAK JAYA,MUARA,94,11,055
PAPUA,DOGIYAI,KAMU SELATAN,94,34,070
PAPUA,YAHUKIMO,SOBA,94,16,043
PAPUA,KEEROM,MANNEM,94,20,043
PAPUA,KEEROM,TOWE,94,20,011
PAPUA,PANIAI,PANIAI TIMUR,94,10,030
PAPUA,DOGIYAI,KAMU UTARA,94,34,100
PAPUA,NABIRE,YARO,94,04,110
PAPUA,TOLIKARA,DOW,94,18,047
PAPUA,PUNCAK JAYA,MEWOLUK,94,11,080
PAPUA,JAYAWIJAYA,WALESI,94,02,117
PAPUA,JAYAWIJAYA,WAME,94,02,185
PAPUA,LANNY JAYA,TIOM OLLO,94,30,035
PAPUA,TOLIKARA,NELAWI,94,18,024
PAPUA,YAHUKIMO,KOSAREK,94,16,033
PAPUA,NDUGA,KORA,94,29,013
PAPUA,MAPPI,CITAKMITAK,94,14,060
PAPUA,LANNY JAYA,BUGUK GONA,94,30,021
PAPUA,TOLIKARA,GIKA,94,18,542
PAPUA,TOLIKARA,NUNGGAWI,94,18,051
PAPUA,ASMAT,KOLF BRAZA,94,15,041
PAPUA,MERAUKE,KURIK,94,01,030
PAPUA,MAMBERAMO TENGAH,ERAGAYAM,94,31,040
PAPUA,PEGUNUNGAN BINTANG,WEIME,94,17,033
PAPUA,KEPULAUAN YAPEN,RAIMBAWI,94,08,043
PAPUA,LANNY JAYA,DIMBA,94,30,080
PAPUA,INTAN JAYA,HITADIPA,94,35,030
PAPUA,SARMI,VERKAM,94,19,055
PAPUA,PUNCAK JAYA,IRIMULI,94,11,058
PAPUA,PUNCAK,BINA,94,33,052
PAPUA,KEEROM,WEB,94,20,010
PAPUA,TOLIKARA,KAMBONERI,94,18,045
PAPUA,MERAUKE,TABONJI,94,01,012
PAPUA,YAHUKIMO,LANGDA,94,16,023
PAPUA,KEPULAUAN YAPEN,ANATAUREI,94,08,062
PAPUA,PANIAI,YOUTADI,94,10,091
PAPUA,TOLIKARA,YUKO,94,18,127
PAPUA,MIMIKA,MIMIKA BARU,94,12,030
PAPUA,ASMAT,ASWI,94,15,021
PAPUA,PUNCAK JAYA,KIYAGE,94,11,042
PAPUA,SUPIORI,SUPIORI BARAT,94,27,021
PAPUA,INTAN JAYA,TOMOSIGA,94,35,041
PAPUA,BIAK NUMFOR,BONDIFUAR,94,09,092
PAPUA,JAYAWIJAYA,KORAGI,94,02,228
PAPUA,MERAUKE,PULAU,94,01,555
PAPUA,PUNCAK,OGAMANIN,94,33,061
PAPUA,JAYAWIJAYA,MULIAMA,94,02,184
PAPUA,PUNCAK,AGANDUGUME,94,33,010
PAPUA,JAYAWIJAYA,ASOLOKOBAL,94,02,111
PAPUA,SARMI,SOBEY,94,19,053
PAPUA,PEGUNUNGAN BINTANG,YEFTA,94,17,044
PAPUA,YAHUKIMO,DEKAI,94,16,013
PAPUA,MAPPI,PASSUE BAWAH,94,14,062
PAPUA,KEEROM,SENGGI,94,20,020
PAPUA,LANNY JAYA,AWINA,94,30,014
PAPUA,JAYAPURA,DEPAPRE,94,03,210
PAPUA,PUNCAK JAYA,NIOGA,94,11,066
PAPUA,MIMIKA,MIMIKA TIMUR JAUH,94,12,022
PAPUA,MAMBERAMO RAYA,ROFAER,94,28,070
PAPUA,DEIYAI,KAPIRAYA,94,36,010
PAPUA,YAHUKIMO,KORUPUN,94,16,027
PAPUA,KEEROM,SKANTO,94,20,050
PAPUA,JAYAPURA,NIMBORAN,94,03,160
PAPUA,WAROPEN,MASIREI,94,26,020
PAPUA,NABIRE,YAUR,94,04,060
PAPUA,MERAUKE,TUBANG,94,01,021
PAPUA,YAHUKIMO,KURIMA,94,16,010
PAPUA,WAROPEN,INGGERUS,94,26,011
PAPUA,DOGIYAI,SUKIKAI SELATAN,94,34,010
PAPUA,DOGIYAI,KAMU TIMUR,94,34,090
PAPUA,NDUGA,YENGGELO,94,29,032
PAPUA,KEPULAUAN YAPEN,YAWAKUKAT,94,08,052
PAPUA,PUNCAK JAYA,KALOME,94,11,071
PAPUA,MAMBERAMO RAYA,MAMBERAMO ILIR,94,28,040
PAPUA,PEGUNUNGAN BINTANG,TARUP,94,17,012
PAPUA,LANNY JAYA,WIRINGGABUT,94,30,024
PAPUA,PUNCAK,ILAGA,94,33,030
PAPUA,YAHUKIMO,YAHULIAMBUT,94,16,057
PAPUA,PANIAI,TELUK DEYA,94,10,084
PAPUA,PUNCAK,WANGBE,94,33,060
PAPUA,TOLIKARA,POGANERI,94,18,044
PAPUA,MIMIKA,AMAR,94,12,013
PAPUA,ASMAT,AGATS,94,15,060
PAPUA,NDUGA,EMBETPEM,94,29,023
PAPUA,YAHUKIMO,HILIPUK,94,16,056
PAPUA,YAHUKIMO,TANGMA,94,16,042
PAPUA,WAROPEN,WAROPEN BAWAH,94,26,010
PAPUA,YAHUKIMO,NALCA,94,16,035
PAPUA,WAROPEN,SOYOI MAMBAI,94,26,023
PAPUA,YAHUKIMO,HOLUWON,94,16,021
PAPUA,PANIAI,YATAMO,94,10,031
PAPUA,ASMAT,AWYU,94,15,014
PAPUA,TOLIKARA,NUMBA,94,18,080
PAPUA,ASMAT,JOUTU,94,15,042
PAPUA,MAMBERAMO RAYA,MAMBERAMO TENGAH TIMUR,94,28,060
PAPUA,ASMAT,FAYIT,94,15,020
PAPUA,PEGUNUNGAN BINTANG,NONGME,94,17,035
PAPUA,YAHUKIMO,UBAHAK,94,16,034
PAPUA,NDUGA,MEBOROK,94,29,034
PAPUA,YAHUKIMO,PRONGGOLI,94,16,062
PAPUA,PEGUNUNGAN BINTANG,OK AON,94,17,027
PAPUA,NDUGA,GESELMA,94,29,030
PAPUA,ASMAT,SAFAN,94,15,013
PAPUA,NABIRE,TELUK UMAR,94,04,061
PAPUA,NDUGA,INIKGAL,94,29,063
PAPUA,NABIRE,MAKIMI,94,04,091
PAPUA,BIAK NUMFOR,ORIDEK,94,09,041
PAPUA,LANNY JAYA,BALINGGA,94,30,040
PAPUA,MAPPI,SYAHCAME,94,14,022
PAPUA,BIAK NUMFOR,WARSA,94,09,090
PAPUA,BOVEN DIGOEL,KOMBAY,94,13,046
PAPUA,TOLIKARA,DANIME,94,18,126
PAPUA,YAHUKIMO,KABIANGGAMA,94,16,054
PAPUA,MAPPI,OBAA,94,14,030
PAPUA,SARMI,ISMARI,94,19,041
PAPUA,YAHUKIMO,WUSAMA,94,16,018
PAPUA,NDUGA,MUGI,94,29,050
PAPUA,PUNCAK JAYA,MOLANIKIME,94,11,082
PAPUA,TOLIKARA,GOYAGE,94,18,021
PAPUA,JAYAWIJAYA,SILO KARNO DOGA,94,02,182
PAPUA,TOLIKARA,ANAWI,94,18,061
PAPUA,PUNCAK,YUGUMUAK,94,33,043
PAPUA,TOLIKARA,KEMBU,94,18,040
PAPUA,TOLIKARA,WINA,94,18,041
PAPUA,YAHUKIMO,PULDAMA,94,16,036
PAPUA,TOLIKARA,WAKUO,94,18,014
PAPUA,INTAN JAYA,SUGAPA,94,35,020
PAPUA,YAHUKIMO,SOLOIKMA,94,16,052
PAPUA,PUNCAK,SINAK BARAT,94,33,041
PAPUA,JAYAWIJAYA,WESAPUT,94,02,611
PAPUA,MIMIKA,AGIMUGA,94,12,040
PAPUA,NABIRE,NAPAN,94,04,090
PAPUA,PEGUNUNGAN BINTANG,OKSEBANG,94,17,052
PAPUA,PEGUNUNGAN BINTANG,BATANI,94,17,036
PAPUA,KEPULAUAN YAPEN,KEP. AMBAI,94,08,051
PAPUA,JAYAWIJAYA,BPIRI,94,02,227
PAPUA,BOVEN DIGOEL,BOMAKIA,94,13,041
PAPUA,MAMBERAMO RAYA,MAMBERAMO ULU,94,28,080
PAPUA,MAMBERAMO RAYA,IWASO,94,28,051
PAPUA,TOLIKARA,DUNDU,94,18,090
PAPUA,BOVEN DIGOEL,JAIR,94,13,010
PAPUA,PEGUNUNGAN BINTANG,AWINBON,94,17,013
PAPUA,KEPULAUAN YAPEN,YAPEN SELATAN,94,08,060
PAPUA,DEIYAI,TIGI TIMUR,94,36,040
PAPUA,PEGUNUNGAN BINTANG,TEIRAPLU,94,17,043
PAPUA,JAYAWIJAYA,SIEPKOSI,94,02,612
PAPUA,JAYAPURA,GRESI SELATAN,94,03,151
PAPUA,SUPIORI,SUPIORI SELATAN,94,27,010
PAPUA,MAMBERAMO RAYA,SAWAI,94,28,032
PAPUA,WAROPEN,KIRIHI,94,26,040
PAPUA,NDUGA,KROPTAK,94,29,041
PAPUA,DEIYAI,TIGI,94,36,030
PAPUA,SUPIORI,KEPULAUAN ARURI,94,27,011
PAPUA,MERAUKE,NGGUTI,94,01,022
PAPUA,BOVEN DIGOEL,MANDOBO,94,13,030
PAPUA,KEPULAUAN YAPEN,WINDESI,94,08,081
PAPUA,KEPULAUAN YAPEN,YAPEN TIMUR,94,08,040
PAPUA,JAYAWIJAYA,BUGI,94,02,226
PAPUA,YAHUKIMO,KONA,94,16,065
PAPUA,LANNY JAYA,KOLAWA,94,30,012
PAPUA,JAYAPURA,AIRU,94,03,081
PAPUA,DEIYAI,BOWOBADO,94,36,050
PAPUA,JAYAWIJAYA,ASOTIPO,94,02,118
PAPUA,PUNCAK JAYA,MULIA,94,11,050
PAPUA,BIAK NUMFOR,NUMFOR TIMUR,94,09,020
PAPUA,MIMIKA,ALAMA,94,12,043
PAPUA,YAHUKIMO,DIRWEMNA,94,16,067
PAPUA,BIAK NUMFOR,BIAK TIMUR,94,09,040
PAPUA,PUNCAK,ONERI,94,33,012
PAPUA,SARMI,PANTAI TIMUR,94,19,022
PAPUA,MIMIKA,IWAKA,94,12,034
PAPUA,PEGUNUNGAN BINTANG,KAWOR,94,17,011
PAPUA,MIMIKA,KUALA KENCANA,94,12,031
PAPUA,MIMIKA,MIMIKA TENGAH,94,12,021
PAPUA,NABIRE,MENOU,94,04,051
PAPUA,DOGIYAI,PIYAIYE,94,34,020
PAPUA,DOGIYAI,MAPIA BARAT,94,34,030
PAPUA,PANIAI,PANIAI BARAT,94,10,080
PAPUA,PANIAI,MUYE,94,10,082
PAPUA,ASMAT,SAWA ERMA,94,15,070
PAPUA,MIMIKA,MIMIKA BARAT,94,12,010
PAPUA,JAYAPURA,EBUNGFAU,94,03,231
PAPUA,JAYAPURA,JAYAPURA SELATAN,94,71,030
