ExecutionId,FileId,Dependency,Type,Success,StatusDetail,Arguments,Location
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,append,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""},{""CellId"":""27"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,event_month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""27"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pe_bps.indonesia_h3_38prov,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""11"",""Line"":""4""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pe_bps.wisnus_sample5_lbs_2024,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""11"",""Line"":""6""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pnt_bps_int.data_cerdas_ue_monthly_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""},{""CellId"":""18"",""Line"":""1""},{""CellId"":""21"",""Line"":""1""},{""CellId"":""30"",""Line"":""1""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pnt_bps_int.data_cerdas_ue_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""27"",""Line"":""16""},{""CellId"":""35"",""Line"":""1""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,geopandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""6""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,geopy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,numpy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""1""},{""CellId"":""5"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""2""},{""CellId"":""4"",""Line"":""4""},{""CellId"":""5"",""Line"":""10""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyproj,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""3""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.conf.SparkConf,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""11""},{""CellId"":""5"",""Line"":""15""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.SparkContext,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""14""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.DataFrame,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.functions.col,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""5""},{""CellId"":""4"",""Line"":""7""},{""CellId"":""5"",""Line"":""17""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.functions.lag,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.functions.lead,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.SparkSession,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""6""},{""CellId"":""5"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.DateType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""},{""CellId"":""5"",""Line"":""18""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.DoubleType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.IntegerType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.StringType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.StructField,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.StructType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.types.TimestampType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.window.Window,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""8""},{""CellId"":""5"",""Line"":""19""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,shapely.wkt.loads,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""4""},{""CellId"":""5"",""Line"":""21""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,h3_pyspark,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""4"",""Line"":""2""},{""CellId"":""4"",""Line"":""3""},{""CellId"":""5"",""Line"":""8""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,sedona,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""5"",""Line"":""12""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,sklearn,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""2"",""Line"":""5""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,append,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""20"",""Line"":""18""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,execute_month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""20"",""Line"":""18""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pe_bps.indonesia_h3_38prov,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""15"",""Line"":""23""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pe_bps.wisnus_sample5_staypoint_2024,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""15"",""Line"":""2""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pnt_bps_int_stg.data_cerdas_mobility_trip_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""20"",""Line"":""18""},{""CellId"":""23"",""Line"":""1""},{""CellId"":""24"",""Line"":""33""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pnt_bps_int_stg.inbound_sample5_lbs_2024,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""15"",""Line"":""4""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pnt_bps_int.data_cerdas_ue_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""15"",""Line"":""6""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,geopandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""6""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,geopy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,numpy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""1""},{""CellId"":""5"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""2""},{""CellId"":""4"",""Line"":""4""},{""CellId"":""5"",""Line"":""10""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyproj,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""3""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.conf.SparkConf,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""11""},{""CellId"":""5"",""Line"":""15""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.SparkContext,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""14""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.DataFrame,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.functions.col,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""24"",""Line"":""1""},{""CellId"":""4"",""Line"":""5""},{""CellId"":""4"",""Line"":""7""},{""CellId"":""5"",""Line"":""17""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.functions.lag,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.functions.lead,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""7""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.SparkSession,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""6""},{""CellId"":""5"",""Line"":""16""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.DateType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""},{""CellId"":""5"",""Line"":""18""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.DoubleType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.IntegerType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.StringType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.StructField,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.StructType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.types.TimestampType,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""9""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,pyspark.sql.window.Window,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""4"",""Line"":""8""},{""CellId"":""5"",""Line"":""19""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,shapely.wkt.loads,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""4""},{""CellId"":""5"",""Line"":""21""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,h3_pyspark,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""4"",""Line"":""2""},{""CellId"":""4"",""Line"":""3""},{""CellId"":""5"",""Line"":""8""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,sedona,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""5"",""Line"":""12""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,sklearn,UnknownLibraries,False,NotSupported,{},"[{""CellId"":""2"",""Line"":""5""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_3a. Pipeline Periodically - Tourism.ipynb,append,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""18"",""Line"":""5""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_3a. Pipeline Periodically - Tourism.ipynb,execute_month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""18"",""Line"":""5""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_3a. Pipeline Periodically - Tourism.ipynb,pnt_bps_int_stg.data_cerdas_mobility_trip_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""14"",""Line"":""1""},{""CellId"":""24"",""Line"":""1""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_3a. Pipeline Periodically - Tourism.ipynb,pnt_bps_int_stg.data_cerdas_tourism_sample,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""18"",""Line"":""5""},{""CellId"":""21"",""Line"":""1""}]"
a1cbc006-17c0-4db1-a282-bccf0e51f12f,Sample_3a. Pipeline Periodically - Tourism.ipynb,geopandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""6""}]"
