Element,ProjectId,FileId,Count,IsLiteral,Format,FormatType,Mode,Supported,Line,SessionId,OptionSettings,CellId,ExecutionId
pe_bps.indonesia_h3_38prov,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,4,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,11,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pe_bps.wisnus_sample5_lbs_2024,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,6,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,11,a1cbc006-17c0-4db1-a282-bccf0e51f12f
append,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,11,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,16,a1cbc006-17c0-4db1-a282-bccf0e51f12f
month,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,11,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,16,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_monthly_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,11,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,16,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_monthly_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_monthly_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,21,a1cbc006-17c0-4db1-a282-bccf0e51f12f
append,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,16,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,27,a1cbc006-17c0-4db1-a282-bccf0e51f12f
event_month,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,16,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,27,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Write,False,16,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,27,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_monthly_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,30,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_sample,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,35,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pe_bps.wisnus_sample5_staypoint_2024,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,2,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.inbound_sample5_lbs_2024,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,4,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int.data_cerdas_ue_sample,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,6,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pe_bps.indonesia_h3_38prov,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,23,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
append,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Write,False,18,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,20,a1cbc006-17c0-4db1-a282-bccf0e51f12f
execute_month,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Write,False,18,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,20,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_mobility_trip_sample,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Write,False,18,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,20,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_mobility_trip_sample,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,23,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_mobility_trip_sample,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,True,Undefined,Specific,Read,False,33,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,24,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_mobility_trip_sample,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,14,a1cbc006-17c0-4db1-a282-bccf0e51f12f
append,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Write,False,5,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
execute_month,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Write,False,5,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_tourism_sample,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Write,False,5,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_tourism_sample,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,21,a1cbc006-17c0-4db1-a282-bccf0e51f12f
pnt_bps_int_stg.data_cerdas_mobility_trip_sample,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,True,Undefined,Specific,Read,False,1,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,,24,a1cbc006-17c0-4db1-a282-bccf0e51f12f
