Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,IsSnowparkAnacondaSupported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,SnowparkVersion,ElementPackage,CellId,ExecutionId,Origin,Technology,FullName
numpy,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,numpy,,1,,True,,Direct,import numpy,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,numpy.__init__,2,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,numpy
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pandas,,2,,True,,Transformation,import pandas,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,pandas.__init__,2,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,pandas
pyproj,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pyproj,,3,,True,,Direct,import pyproj,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,,2,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,
shapely,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,shapely,,4,,True,,Direct,import shapely,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,,2,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,
sklearn,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,sklearn,,5,,False,,Invalid,import sklearn,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,,2,a1cbc006-17c0-4db1-a282-bccf0e51f12f,Unknown,Python,
h3,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,h3,,2,,False,,Invalid,import h3,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,Unknown,Python,
h3_pyspark,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,h3_pyspark,,3,,False,,Invalid,import h3_pyspark,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,Unknown,Python,
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pd,,4,,True,,Transformation,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,pandas.__init__,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,pandas
pyspark.sql.functions,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,f,,5,pyspark.sql,True,,Transformation,import pyspark.sql.functions as f,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,pyspark.sql.functions,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,pyspark.sql.functions
pyspark.sql.SparkSession,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,SparkSession,,6,pyspark.sql,True,,Transformation,from pyspark.sql import SparkSession,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,pyspark.sql.session,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,ThirdPartyLib,Python,pyspark.sql.session.SparkSession
