Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,Supported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,SnowparkVersion,CellId,ExecutionId,ParametersInfo,Technology
pyspark.sql.functions,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,f,Module,5,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,import pyspark.sql.functions as f,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.session.SparkSession,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,SparkSession,Class,6,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Rename,from pyspark.sql import SparkSession,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions.col,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,col,Function,7,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.functions import col, lag, lead",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions.lag,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,lag,Function,7,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.functions import col, lag, lead",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions.lead,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,lead,Function,7,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.functions import col, lag, lead",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.window.Window,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,Window,Class,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,from pyspark.sql.window import Window,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.DateType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,DateType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.DoubleType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,DoubleType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.IntegerType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,IntegerType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.StringType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,StringType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
