Code,Description,Category,NodeType,FileId,ProjectId,Line,Column,Url
SPRKPY1060,The authentication mechanism is connection.json (template provided).,Warning, Snowflake.SnowConvert.Python.AST.PyPrimaryAtomElem,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,0,0,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1060
SPRKPY1080,The value of SparkContext is replaced with 'session' variable.,Warning, Snowflake.SnowConvert.Python.AST.PyAtomName,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,6,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1080
SPRKPY1080,The value of SparkContext is replaced with 'session' variable.,Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,19,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1080
PNDSPY1002,"pandas.core.indexes.datetimes.date_range has a partial mapping, with few scenarios not supported in Snowpark. Check Snowpark Pandas documentation for more detail.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,16,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/pandas/PNDSPY1002
SPRKPY1068,"""pyspark.sql.dataframe.DataFrame.toPandas is not supported if there are columns of type ArrayType, but it has a workaround. See documentation for more info.""",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,73,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1068
PNDSPY1002,"pandas.core.indexes.datetimes.date_range has a partial mapping, with few scenarios not supported in Snowpark. Check Snowpark Pandas documentation for more detail.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,17,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/pandas/PNDSPY1002
SPRKPY1068,"""pyspark.sql.dataframe.DataFrame.toPandas is not supported if there are columns of type ArrayType, but it has a workaround. See documentation for more info.""",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,22,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1068
SPRKPY1068,"""pyspark.sql.dataframe.DataFrame.toPandas is not supported if there are columns of type ArrayType, but it has a workaround. See documentation for more info.""",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,1,25,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1068
SPRKPY1032,pandas.__version__ is not defined,ConversionError, Snowflake.SnowConvert.Python.AST.PyTailDotName,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,2,13,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1032
SPRKPY1073,pyspark.sql.functions.udf function without the return type parameter is not supported. See documentation for more info.,Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,/Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,notebook,2,15,https://docs.snowconvert.com/sma/issue-analysis/issue-codes-by-source/python/SPRKPY1073
