Element,ProjectId,FileId,Count,IsSelfJoin,HasLeftAlias,HasRightAlias,Line,Kind,SessionId,CellId,ExecutionId
35,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,False,False,False,35,Outer,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,20,b1fb77a9-958a-495d-82c1-be5dfafc0af9
123,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,False,False,False,123,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,11,b1fb77a9-958a-495d-82c1-be5dfafc0af9
133,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,False,False,False,133,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,11,b1fb77a9-958a-495d-82c1-be5dfafc0af9
142,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,False,False,False,142,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,11,b1fb77a9-958a-495d-82c1-be5dfafc0af9
157,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,False,False,False,157,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,11,b1fb77a9-958a-495d-82c1-be5dfafc0af9
110,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,True,True,110,Inner,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
121,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,True,True,121,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
195,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,False,False,195,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
195.199,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,False,False,199,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
207,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,False,False,207,Left,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
226,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,False,False,False,226,Right,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,12,b1fb77a9-958a-495d-82c1-be5dfafc0af9
