Element,ProjectId,FileId,Count,CellID,Arguments,LOC,Size,SupportedStatus,ParsingResult
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,2,,5,74,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,3,,5,134,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,4,,12,472,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,5,,23,683,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,6,,6,960,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,7,,2,68,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,8,,1,5,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,10,,85,4987,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,11,,6,422,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,12,,1,49,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,14,,7,340,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,16,,6,368,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,17,,2,92,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,18,,1,82,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,20,,25,1919,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,21,,4,179,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,22,,2,100,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,24,,7,338,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,25,,1,48,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,27,,12,745,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,30,,1,74,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,31,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,31,,1,31,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,32,,2,92,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,33,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,33,,1,146,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,35,,2,143,True,Successful
